file_id,filename,folder_path,file_type,size_kb,date_modified,content_excerpt
F0012,ELMTREE_REALTY_DPA_v1_28.09.2024_clean version.pdf,/Legal/Contracts/Backup - DO NOT DELETE,pdf,1869,2025-10-23,This DPA supplements the underlying services agreement and sets out data protection obligations for Elmtree Realty as processor.
F0013,31.07.2022-Mutual NDA.docx,/Legal/Signed,docx,3393,2023-07-29,This Non-Disclosure Agreement is entered into by and between Solara Energy and the Company for the purpose of evaluating a potential business relationship.
F0014,vantage-retail-group_2023_FINAL(2)_Software License (1).pdf,/Legal/NDAs,pdf,740,2023-10-23,IP license agreement between the Company and Vantage Retail Group covering use of licensed materials for data analytics platform.
F0015,Vantage Retail Group-Employment Agreement-old-23.01.2021 (1).doc,/Shared/Legal Docs/Vendors,doc,2363,2021-05-30,"Offer letter and employment terms for a position in the office renovation team, including start date and reporting line."
F0016,Nov2024_v1_Data Processing Agreement.pdf,/Legal/Unsorted/Desktop dump 2021,pdf,1369,2025-05-26,"Scanned copy, OCR quality poor. This DPA supplements the underlying services agreement and s... [text unclear beyond this point]"
F0017,Vantage__Retail__Group Software License FINAL__v2 2023.pdf,/Shared/Legal Docs,pdf,1432,2024-04-06,IP license agreement between the Company and Vantage Retail Group covering use of licensed materials for content licensing.
F0018,Tandem-SOW-COPY-2023.pdf,/Shared/Legal Docs/Vendors,pdf,2627,2024-04-29,"This SOW sets out the specific services to be performed by Tandem Software for the a potential acquisition project, referencing the governing MSA."
F0019,2023-Harbourline-draft-Employment Agreement.docx,/Legal/Contracts/2021,docx,1341,2024-06-21,"Employment agreement between the Company and the named employee, setting out role, compensation, and termination terms."
F0020,BRIGHTPATH_HEALTH_Joint Venture Agreement_signed_09-20-21.doc,/Shared/Legal Docs/Employees,doc,2545,2022-04-15,Partnership agreement between the Company and Brightpath Health establishing a joint venture focused on content licensing.
F0021,Jun2021  internal only Employment Contract v3 HARBOURLINE_SHIPPING.docx,/Legal/Templates (do not use),docx,2641,2021-09-27,"Employment agreement between the Company and the named employee, setting out role, compensation, and termination terms."
F0022,Halden Data Processing Addendum pending signature 20210217.doc,/Legal/Unsorted,doc,1419,2021-06-29,This DPA supplements the underlying services agreement and sets out data protection obligations for Halden & Co as processor.
F0023,Software  License-Signed.doc,/Legal/Contracts,doc,2424,2019-04-14,"Software license agreement granting the Company rights to use Harbourline Shipping's platform for recruitment services, subject to usage restrictions."
F0024,ACME_CORP-MSA-FINAL(2)-2019-draft not final.doc,/Shared/Legal Docs/Employees,doc,2670,2020-07-07,"Framework agreement setting out general terms under which Acme Corp will provide ongoing services, to be supplemented by individual Statements of Work."
F0025,brightpath-health-Master Agreement-v2_FINAL-03.12.2017 (1).doc,/Shared/Legal Docs/Vendors,doc,1165,2018-01-16,"Framework agreement setting out general terms under which Brightpath Health will provide ongoing services, to be supplemented by individual Statements of Work."
F0026,Dec2019 Property Lease FINAL Bluewave_Logistics.docx,/Legal/Contracts/By Vendor,docx,3265,2020-04-29,"Commercial lease agreement for premises located at 17 Exchange Square, Manchester, between the Company as tenant and Bluewave Logistics as landlord."
F0027,Northgate_Confidentiality Agreement_Draft_Dec2019.pdf,/Legal/Contracts/Real Estate,pdf,2618,2020-01-19,Mutual confidentiality agreement covering discussions between the parties regarding cloud migration.
F0028,Vantage SOW FINAL_v2.doc,/Legal/Unsorted/Desktop dump 2021,doc,1920,2025-05-11,"Statement of Work under the Master Services Agreement dated 09 April 2025, describing deliverables and timeline for the customer support outsourcing engagement."
F0029,pending signature-08-12-20-RiverstoneCapital-NDA.pdf,/Legal/Contracts/2020,pdf,2462,2021-04-02,This Non-Disclosure Agreement is entered into by and between Riverstone Capital and the Company for the purpose of evaluating a potential business relationship.
F0030,Riverstone_Capital_Lease Agreement_FINAL_v2_May2025.docx,/Legal/Contracts/Real Estate,docx,4179,2025-07-07,"This Lease sets out the terms of occupancy, rent, and maintenance obligations for the property at 220 Baker Street, London."
F0031,Silvergate-Work Order-final.pdf,/Legal/Archive/Old Deals,pdf,2489,2025-10-29,"This SOW sets out the specific services to be performed by Silvergate Foods for the supply chain logistics project, referencing the governing MSA."
F0032,SOLARA_ENERGY Lease DRAFT Aug2022.pdf,/Legal/Contracts/By Vendor,pdf,216,2023-06-05,"This Lease sets out the terms of occupancy, rent, and maintenance obligations for the property at 14 Prince Street, Edinburgh."
F0033,Cobalt__Employment Agreement__v3__internal only.doc,/Legal/Contracts/2021,doc,514,2025-11-27,"Offer letter and employment terms for a position in the a potential acquisition team, including start date and reporting line."
F0034,DPA_v2_May2025.docx,/Shared/Legal Docs/Vendors,docx,2176,2025-08-22,"Scanned copy, OCR quality poor. Data Processing Agreement between the Company and Harbourlin... [text unclear beyond this point]"
F0035,final-Corvus-Amendment (1).pdf,/Legal/Archive,pdf,2001,2018-04-29,Addendum modifying pricing and scope under the original agreement with Corvus Data.
F0036,Vantage_Retail_Group-IP License-v2-06-15-25 (1).doc,/Legal/NDAs/Misc,doc,4196,2026-06-01,IP license agreement between the Company and Vantage Retail Group covering use of licensed materials for cloud migration.
F0037,vantage-retail-group 04.10.2023 FINAL_v2 Collab Agreement PLEASE READ.doc,/Legal/Contracts/2019,doc,441,2023-10-05,Collaboration agreement setting out each party's contributions and revenue share for the product integration initiative.
F0038,Master Agreement-draft-May2025-Granite.docx,/Shared/Legal Docs/Employees,docx,2671,2025-05-26,"Framework agreement setting out general terms under which Granite Peak Mining will provide ongoing services, to be supplemented by individual Statements of Work."
F0039,FoxgloveMarketing-Contract Amendment-copy-20210714.doc,/Legal/Contracts/To Review,doc,1901,2022-06-30,"Amendment to the existing agreement with Foxglove Marketing, updating terms related to equipment financing and extending the term."
F0040,vantage-retail-group__Addendum__Draft__2023.pdf,/Legal/Unsorted/Desktop dump 2021,pdf,3730,2024-08-25,Addendum modifying pricing and scope under the original agreement with Vantage Retail Group.
F0041,GranitePeakMining-Purchase Agreement-old-2017.pdf,/Legal/Contracts/2020,pdf,880,2018-06-23,Purchase agreement between the Company and Granite Peak Mining for payment processing-related equipment and support.
F0042,Acme Corp_Lease Agreement_COPY_20230128.doc,/Legal/Unsorted,doc,2372,2023-03-16,"Commercial lease agreement for premises located at 17 Exchange Square, Manchester, between the Company as tenant and Acme Corp as landlord."
F0043,Contract Amendment_meridian-cloud-systems_14.08.2017.pdf,/Legal/NDAs,pdf,2281,2018-08-24,Addendum modifying pricing and scope under the original agreement with Meridian Cloud Systems.
F0044,LumenAnalytics_Employment Agreement_FINAL_11-15-24_DO NOT SEND.doc,/Shared/Legal Docs/Employees,doc,2848,2025-01-09,"Offer letter and employment terms for a position in the marketing campaign team, including start date and reporting line."
F0045,Crestline Media_Mutual NDA_v1_Mar2025.docx,/Shared/Legal Docs/Employees,docx,4077,2025-12-15,The parties wish to exchange confidential information in connection with data analytics platform and agree to the following terms.
F0046,AshworthTextiles_Software License_Draft_Oct2020.doc,/Legal/Archive/Old Deals,doc,2471,2021-08-04,IP license agreement between the Company and Ashworth Textiles covering use of licensed materials for a potential acquisition.
F0047,oakridge-manufacturing_Employment Agreement_DRAFT_15.03.2020.pdf,/Legal/Contracts/2019,pdf,1606,2021-04-02,"Offer letter and employment terms for a position in the a pilot programme team, including start date and reporting line."
F0048,Riverstone Capital__SOW__02-04-20.pdf,/Legal/Contracts/Real Estate,pdf,442,2020-08-27,"Statement of Work under the Master Services Agreement dated 04 February 2020, describing deliverables and timeline for the content licensing engagement."
F0049,Cobalt Employment Agreement copy 2026.docx,/Legal/Archive,docx,2665,2026-06-01,"Employment agreement between the Company and the named employee, setting out role, compensation, and termination terms."
F0050,Harbourline Shipping_Employment Agreement_signed.pdf,/Legal/Signed,pdf,2267,2024-07-20,"Employment agreement between the Company and the named employee, setting out role, compensation, and termination terms."
F0051,SilvergateFoods_Employment Agreement_executed_20220330 (1).pdf,/Legal/Downloads,pdf,2902,2022-06-03,"Offer letter and employment terms for a position in the product integration team, including start date and reporting line."
F0052,Mutual NDA_20201212_Silvergate_v1.pdf,/Legal/Contracts/2019,pdf,1622,2021-05-25,The parties wish to exchange confidential information in connection with customer support outsourcing and agree to the following terms.
F0053,vantage-retail-group_Joint Venture Agreement_signed_04.10.2023.docx,/Legal/Contracts/2022,docx,1293,2024-05-11,Partnership agreement between the Company and Vantage Retail Group establishing a joint venture focused on payment processing.
F0054,foxglove-marketing-Work Order-COPY-Jul2018.pdf,/Shared/Legal Docs/Vendors,pdf,1536,2019-04-03,"Statement of Work under the Master Services Agreement dated 20 July 2018, describing deliverables and timeline for the security auditing engagement."
F0055,vantage-retail-group_Addendum_FINAL(2)_20251031_internal only.docx,/Legal/Contracts/Misc,docx,3699,2025-12-29,"Amendment to the existing agreement with Vantage Retail Group, updating terms related to cloud migration and extending the term."
F0056,Falcon Security-FINAL-Oct2023-SOW (1).doc,/Legal/Unsorted,doc,111,2024-05-29,"Statement of Work under the Master Services Agreement dated 24 October 2023, describing deliverables and timeline for the cloud migration engagement."
F0057,Brightpath_Partnership Agreement_draft_20.09.2021_PLEASE READ.docx,/Legal/Contracts/2022,docx,2679,2022-10-11,Collaboration agreement setting out each party's contributions and revenue share for the distribution rights initiative.
F0058,BRIGHTPATH_HEALTH_Partnership Agreement_08-10-25.pdf,/Legal/Contracts/By Vendor,pdf,527,2025-08-15,Collaboration agreement setting out each party's contributions and revenue share for the content licensing initiative.
F0059,Apr2025_Vantage Retail Group_draft_Statement of Work.pdf,/Legal/Contracts/2022,pdf,1432,2025-08-20,"This SOW sets out the specific services to be performed by Vantage Retail Group for the cloud migration project, referencing the governing MSA."
F0060,Brightpath_Health_License Agreement_pending signature_02-13-21.pdf,/Legal/Contracts/By Vendor,pdf,3570,2021-05-09,IP license agreement between the Company and Brightpath Health covering use of licensed materials for supply chain logistics.
F0061,Northgate_Partners_Vendor  Agreement_backup_Jul2024.pdf,/Shared/Legal Docs/Employees,pdf,381,2025-01-19,Purchase agreement between the Company and Northgate Partners for payment processing-related equipment and support.
F0062,internal only_20171116_Software License_halden-&-co_Signed.docx,/Legal/Contracts/2021,docx,1203,2018-05-30,IP license agreement between the Company and Halden & Co covering use of licensed materials for data analytics platform.
F0063,2017-Joint Venture Agreement-FINAL_v2-SolaraEnergy.pdf,/Legal/Downloads,pdf,3378,2019-01-03,Partnership agreement between the Company and Solara Energy establishing a joint venture focused on content licensing.
F0064,Pinnacle Insurance-MSA-signed-19.01.2018.docx,/Legal/Contracts/Real Estate,docx,3196,2018-09-06,"This Master Services Agreement governs the provision of services by Pinnacle Insurance to the Company, including scope, fees, and liability terms."
F0065,Harbourline_Shipping_Data Processing Agreement_old_2017_PLEASE READ.pdf,/Legal/Contracts/2021,pdf,3839,2018-04-30,Data Processing Agreement between the Company and Harbourline Shipping governing the processing of personal data in connection with data analytics platform.
F0066,Ferrow Partnership Agreement FINAL_v2 2018.pdf,/Legal/Signed,pdf,116,2019-10-13,Collaboration agreement setting out each party's contributions and revenue share for the recruitment services initiative.
F0067,HarbourlineShipping_Vendor Agreement_Draft_11.12.2022.pdf,/Legal/Unsorted,pdf,555,2022-12-13,"Vendor agreement with Harbourline Shipping covering the supply of goods/services related to data analytics platform, including pricing and delivery terms."
F0068,ASHWORTH_TEXTILES_Contract Amendment_DRAFT_10-06-23_unsigned.pdf,/Legal/Contracts,pdf,1041,2024-10-22,"Amendment to the existing agreement with Ashworth Textiles, updating terms related to marketing campaign and extending the term."
F0069,Brightpath Software License v2 2023.pdf,/Legal/Signed,pdf,2466,2024-06-05,"Software license agreement granting the Company rights to use Brightpath Health's platform for equipment financing, subject to usage restrictions."
F0070,final Cobalt_Freight 23.12.2024 MSA.pdf,/Shared/Legal Docs/Employees,pdf,3243,2025-02-02,"Framework agreement setting out general terms under which Cobalt Freight will provide ongoing services, to be supplemented by individual Statements of Work."
F0071,Solara Confidentiality Agreement 20250402 pending signature.doc,/Legal/Contracts/2022,doc,1494,2026-04-02,This Non-Disclosure Agreement is entered into by and between Solara Energy and the Company for the purpose of evaluating a potential business relationship.
F0072,Corvus-DPA-FINAL_v2-10-03-19.pdf,/Legal/Downloads,pdf,3143,2020-10-27,Data Processing Agreement between the Company and Corvus Data governing the processing of personal data in connection with payment processing.
F0073,ASHWORTH_TEXTILES License Agreement v3 01-13-19.pdf,/Legal/Contracts/2019,pdf,2654,2019-01-19,IP license agreement between the Company and Ashworth Textiles covering use of licensed materials for product integration.
F0074,License Agreement copy 2019.docx,/Legal/Downloads,docx,1711,2020-05-26,IP license agreement between the Company and Crestline Media covering use of licensed materials for office renovation.
F0075,ElmtreeRealty-Software License-COPY-21.09.2019.pdf,/Shared/Legal Docs/Vendors,pdf,887,2020-09-24,IP license agreement between the Company and Elmtree Realty covering use of licensed materials for payment processing.
F0076,draft not final__v2__DPA__Corvus Data__10-04-19.doc,/Legal/Contracts/2021,doc,2866,2019-11-30,This DPA supplements the underlying services agreement and sets out data protection obligations for Corvus Data as processor.
F0077,Halden&Co-Supplier Agreement-backup-20180224.docx,/Legal/Archive/Old Deals,docx,3587,2018-05-19,Purchase agreement between the Company and Halden & Co for marketing campaign-related equipment and support.
F0078,Mutual NDA copy 04-05-20 Harbourline_Shipping.doc,/Legal/Contracts/2020,doc,1012,2020-10-27,Mutual confidentiality agreement covering discussions between the parties regarding data analytics platform.
F0079,FOXGLOVE_MARKETING_Software License_copy_2026.pdf,/Legal/Contracts/2022,pdf,4016,2026-06-01,IP license agreement between the Company and Foxglove Marketing covering use of licensed materials for a pilot programme.
F0080,FINAL(2) Partnership Agreement Solara Energy 25.12.2017.doc,/Legal/Contracts/Misc,doc,200,2018-02-10,Partnership agreement between the Company and Solara Energy establishing a joint venture focused on product integration.
F0081,GreymoorLogistics_Employment Contract_FINAL_13.02.2020.pdf,/Legal/Contracts,pdf,3392,2021-02-01,"Offer letter and employment terms for a position in the product integration team, including start date and reporting line."
F0082,Oakridge MNDA OLD 2021.doc,/Shared/Legal Docs,doc,2467,2022-06-20,Mutual confidentiality agreement covering discussions between the parties regarding cloud migration.
F0083,Joint Venture Agreement-v3-20180412.docx,/Legal/Archive,docx,2451,2018-09-26,Partnership agreement between the Company and Halden & Co establishing a joint venture focused on supply chain logistics.
F0084,CRESTLINE_MEDIA_v1_Work Order_27.02.2017.pdf,/Shared/Legal Docs,pdf,2216,2017-09-11,"Statement of Work under the Master Services Agreement dated 27 February 2017, describing deliverables and timeline for the security auditing engagement."
F0085,08-08-21-Brightpath-OLD-Property Lease.pdf,/Legal/Contracts/Misc,pdf,2245,2022-06-16,"This Lease sets out the terms of occupancy, rent, and maintenance obligations for the property at 17 Exchange Square, Manchester."
F0086,AcmeCorp_Offer  Letter_old.docx,/Legal/Unsorted/Desktop dump 2021,docx,1730,2023-07-20,"Employment agreement between the Company and the named employee, setting out role, compensation, and termination terms."
F0087,Acme_MSA_copy_20180329.docx,/Legal/NDAs/Misc,docx,897,2018-06-26,"Framework agreement setting out general terms under which Acme Corp will provide ongoing services, to be supplemented by individual Statements of Work."
F0088,Granite Peak Mining_Offer Letter_v1_09-02-25.pdf,/Legal/Contracts/Backup - DO NOT DELETE,pdf,2040,2026-01-04,"Employment agreement between the Company and the named employee, setting out role, compensation, and termination terms."
F0089,TandemSoftware_MSA_COPY_02-20-23.doc,/Legal/Contracts/Real Estate,doc,939,2023-11-08,"This Master Services Agreement governs the provision of services by Tandem Software to the Company, including scope, fees, and liability terms."
F0090,Lumen_Data Processing Agreement_v3_Oct2024.pdf,/Legal/Contracts/Misc,pdf,1815,2025-06-26,Data Processing Agreement between the Company and Lumen Analytics governing the processing of personal data in connection with office renovation.
F0091,Supplier Agreement final 20200331.pdf,/Legal/Contracts/2021,pdf,724,2020-10-19,"Scanned copy, OCR quality poor. Purchase agreement between the Company and Falcon Security f... [text unclear beyond this point]"
F0092,Master Agreement_27.11.2017_v2.doc,/Legal/Contracts/Backup - DO NOT DELETE,doc,1951,2018-06-26,"Scanned copy, OCR quality poor. This Master Services Agreement governs the provision of serv... [text unclear beyond this point]"
F0093,Silvergate_Foods_Lease Agreement_copy_2022.pdf,/Legal/Contracts/Misc,pdf,561,2023-05-03,"Commercial lease agreement for premises located at 3 Riverside Way, Dunfermline, between the Company as tenant and Silvergate Foods as landlord."
F0094,FINAL Harbourline 2023 Offer Letter redline.docx,/Legal/Unsorted/Desktop dump 2021,docx,2525,2024-08-09,"Employment agreement between the Company and the named employee, setting out role, compensation, and termination terms."
F0095,old__Anchor Point Bank__Purchase Agreement__20240326.doc,/Shared/Legal Docs,doc,1261,2025-04-15,"Vendor agreement with Anchor Point Bank covering the supply of goods/services related to a potential acquisition, including pricing and delivery terms."
F0096,20240313  Property Lease backup.pdf,/Legal/Archive,pdf,103,2024-08-01,"Commercial lease agreement for premises located at 5 Harbour View, Leith, between the Company as tenant and Ashworth Textiles as landlord."
F0097,v3_IP License.doc,/Legal/Unsorted,doc,4096,2023-01-10,IP license agreement between the Company and Northgate Partners covering use of licensed materials for a pilot programme.
F0098,northgate-partners_Employment  Contract_Signed_Jul2021.docx,/Legal/Contracts/2019,docx,1483,2021-09-02,"Employment agreement between the Company and the named employee, setting out role, compensation, and termination terms."
F0099,Granite Collab Agreement Final 20240305.doc,/Shared/Legal Docs/Vendors,doc,2132,2024-06-13,Collaboration agreement setting out each party's contributions and revenue share for the payment processing initiative.
F0100,22.02.2026-Purchase Agreement-SIGNED-Lumen Analytics.docx,/Legal/Signed,docx,1610,2026-06-01,Purchase agreement between the Company and Lumen Analytics for security auditing-related equipment and support.
F0101,20220113_Vendor Agreement_pending signature_Ferrow.docx,/Legal/Contracts/Misc,docx,1469,2022-12-29,"Vendor agreement with Ferrow Industries covering the supply of goods/services related to security auditing, including pricing and delivery terms."
F0102,WhitfieldLegalServices Property Lease Jan2023 Draft.doc,/Legal/Templates (do not use),doc,1514,2023-12-06,"This Lease sets out the terms of occupancy, rent, and maintenance obligations for the property at 14 Prince Street, Edinburgh."
F0103,marlin-consulting_signed_Lease_29.07.2025.pdf,/Legal/Contracts/Backup - DO NOT DELETE,pdf,452,2025-08-25,"Commercial lease agreement for premises located at 5 Harbour View, Leith, between the Company as tenant and Marlin Consulting as landlord."
F0104,Supplier Agreement_executed_20260109.doc,/Legal/Contracts/By Vendor,doc,967,2026-06-01,Purchase agreement between the Company and Corvus Data for supply chain logistics-related equipment and support.
F0105,acme-corp-Data Processing Addendum-executed (1).pdf,/Legal/Contracts/Real Estate,pdf,4174,2020-04-03,Data Processing Agreement between the Company and Acme Corp governing the processing of personal data in connection with customer support outsourcing.
F0106,v1_01-30-20_Falcon  Security_Collab Agreement_internal only.docx,/Legal/NDAs,docx,3492,2020-12-11,Partnership agreement between the Company and Falcon Security establishing a joint venture focused on content licensing.
F0107,Brightpath Health Partnership Agreement DRAFT 08-30-23.docx,/Shared/Legal Docs,docx,166,2023-10-19,Collaboration agreement setting out each party's contributions and revenue share for the distribution rights initiative.
F0108,crestline-media-Confidentiality Agreement-FINAL-20250706.pdf,/Legal/Contracts,pdf,1328,2025-11-05,This Non-Disclosure Agreement is entered into by and between Crestline Media and the Company for the purpose of evaluating a potential business relationship.
F0109,Bluewave_IP License_old_2017.pdf,/Legal/NDAs,pdf,2093,2018-06-23,"Software license agreement granting the Company rights to use Bluewave Logistics's platform for customer support outsourcing, subject to usage restrictions."
F0110,Pinnacle Insurance SOW v2 31.12.2025.docx,/Shared/Legal Docs/Vendors,docx,907,2026-06-01,"This SOW sets out the specific services to be performed by Pinnacle Insurance for the equipment financing project, referencing the governing MSA."
F0111,Purchase Agreement HarbourlineShipping copy Mar2021 internal only.docx,/Legal/Contracts/Misc,docx,2107,2021-11-09,Purchase agreement between the Company and Harbourline Shipping for office renovation-related equipment and support.
F0112,clean version_04-17-17_FALCON_SECURITY_v1_MSA.pdf,/Shared/Legal Docs/Vendors,pdf,2267,2018-04-11,"This Master Services Agreement governs the provision of services by Falcon Security to the Company, including scope, fees, and liability terms."
F0113,Brightpath Health_Employment Contract_Signed_26.07.2020.pdf,/Legal/Contracts/2021,pdf,3782,2020-12-30,"Offer letter and employment terms for a position in the payment processing team, including start date and reporting line."
F0114,Greymoor__Logistics__Employment Contract__old.pdf,/Shared/Legal Docs/Employees,pdf,2625,2020-07-02,"Offer letter and employment terms for a position in the product integration team, including start date and reporting line."
F0115,04-19-23-OLD-Offer Letter-Ashworth_Textiles.doc,/Legal/NDAs/Misc,doc,2048,2023-05-18,"Employment agreement between the Company and the named employee, setting out role, compensation, and termination terms."
F0116,AnchorPointBank_Lease Agreement_v1_Oct2019.doc,/Legal/NDAs,doc,3190,2020-04-26,"Commercial lease agreement for premises located at 3 Riverside Way, Dunfermline, between the Company as tenant and Anchor Point Bank as landlord."
F0117,ELMTREE_REALTY  Vendor Agreement copy 2017.pdf,/Legal/Templates (do not use),pdf,1531,2018-06-29,Purchase agreement between the Company and Elmtree Realty for a pilot programme-related equipment and support.
F0118,CRESTLINE_MEDIA-Employment  Contract-executed.docx,/Legal/Contracts,docx,3819,2026-04-16,"Employment agreement between the Company and the named employee, setting out role, compensation, and termination terms."
F0119,SOLARA_ENERGY_NDA_SIGNED_Oct2020.pdf,/Legal/Contracts/To Review,pdf,2169,2021-11-03,Mutual confidentiality agreement covering discussions between the parties regarding cloud migration.
F0120,Acme__Corp__Joint Venture Agreement__draft.pdf,/Legal/Templates (do not use),pdf,3613,2019-05-03,Partnership agreement between the Company and Acme Corp establishing a joint venture focused on a potential acquisition.
F0121,Supplier  Agreement Riverstone_Capital 2021 Draft.docx,/Legal/Contracts/To Review,docx,3509,2021-11-23,"Vendor agreement with Riverstone Capital covering the supply of goods/services related to marketing campaign, including pricing and delivery terms."
F0122,NORTHGATE_PARTNERS_Joint Venture Agreement_signed_02-14-22_redline.doc,/Legal/Archive,doc,132,2022-09-11,Partnership agreement between the Company and Northgate Partners establishing a joint venture focused on equipment financing.
F0123,pinnacle-insurance-Master Services Agreement-FINAL-20180115-redline.pdf,/Legal/NDAs,pdf,568,2018-04-09,"This Master Services Agreement governs the provision of services by Pinnacle Insurance to the Company, including scope, fees, and liability terms."
F0124,foxglove-marketing-MNDA-v1-2019.pdf,/Legal/Contracts/Real Estate,pdf,140,2020-03-23,The parties wish to exchange confidential information in connection with office renovation and agree to the following terms.
F0125,Greymoor Logistics-SOW-old.doc,/Legal/Contracts/To Review,doc,1490,2019-01-19,"This SOW sets out the specific services to be performed by Greymoor Logistics for the recruitment services project, referencing the governing MSA."
F0126,Tandem_Master Services Agreement_draft_2021.pdf,/Shared/Legal Docs/Employees,pdf,801,2021-06-23,"This Master Services Agreement governs the provision of services by Tandem Software to the Company, including scope, fees, and liability terms."
F0127,Master Agreement-Signed-03.02.2018.pdf,/Legal/Downloads,pdf,2371,2018-02-19,"Scanned copy, OCR quality poor. Framework agreement setting out general terms under which An... [text unclear beyond this point]"
F0128,Northgate_20260329_OLD_DPA.pdf,/Legal/Unsorted,pdf,3254,2026-06-01,This DPA supplements the underlying services agreement and sets out data protection obligations for Northgate Partners as processor.
F0129,riverstone-capital Property Lease final Apr2017.docx,/Legal/Contracts/2022,docx,123,2017-06-05,"This Lease sets out the terms of occupancy, rent, and maintenance obligations for the property at 88 Kings Road, Glasgow."
F0130,Work Order_Elmtree Realty_Final.doc,/Legal/Templates (do not use),doc,790,2024-05-02,"This SOW sets out the specific services to be performed by Elmtree Realty for the recruitment services project, referencing the governing MSA."
F0131,signed_Employment Contract_Jan2022_unsigned_ashworth-textiles.pdf,/Shared/Legal Docs/Employees,pdf,4007,2022-10-26,"Offer letter and employment terms for a position in the data analytics platform team, including start date and reporting line."
F0132,Corvus_Data-NDA-final-2023 (1).docx,/Legal/Contracts,docx,3494,2024-03-27,The parties wish to exchange confidential information in connection with a potential acquisition and agree to the following terms.
F0133,GranitePeakMining-Software License-Signed-10-22-24.doc,/Legal/Signed,doc,4048,2025-11-14,IP license agreement between the Company and Granite Peak Mining covering use of licensed materials for marketing campaign.
F0134,executed_17.06.2018_Statement of Work.doc,/Legal/Contracts/2023,doc,1011,2019-07-03,"Statement of Work under the Master Services Agreement dated 17 June 2018, describing deliverables and timeline for the supply chain logistics engagement."
F0135,GREYMOOR_LOGISTICS_Employment Agreement_draft_02-14-20.pdf,/Legal/NDAs,pdf,2343,2020-11-24,"Offer letter and employment terms for a position in the data analytics platform team, including start date and reporting line."
F0136,FalconSecurity-SOW-reviewed-2022.doc,/Shared/Legal Docs/Employees,doc,3840,2023-04-17,"Statement of Work under the Master Services Agreement dated 02 September 2022, describing deliverables and timeline for the a pilot programme engagement."
F0137,Harbourline_Shipping_IP License_v3_20170628.doc,/Legal/Contracts/To Review,doc,443,2017-12-25,IP license agreement between the Company and Harbourline Shipping covering use of licensed materials for equipment financing.
F0138,COBALT_FREIGHT_Supplier Agreement_20170218_redline.pdf,/Legal/Archive,pdf,2269,2017-09-09,Purchase agreement between the Company and Cobalt Freight for recruitment services-related equipment and support.
F0139,MNDA v3 2020.pdf,/Legal/Contracts/By Vendor,pdf,3857,2021-03-08,"Scanned copy, OCR quality poor. Mutual confidentiality agreement covering discussions betwee... [text unclear beyond this point]"
F0140,vantage-retail-group-License Agreement-reviewed-20230812-old-do not use.pdf,/Legal/Contracts/To Review,pdf,3196,2024-04-12,"Software license agreement granting the Company rights to use Vantage Retail Group's platform for equipment financing, subject to usage restrictions."
F0141,Oakridge Manufacturing_License Agreement_reviewed_Aug2021.pdf,/Legal/Contracts/Misc,pdf,3021,2022-04-17,"Software license agreement granting the Company rights to use Oakridge Manufacturing's platform for distribution rights, subject to usage restrictions."
